order_id,customer_id,product_id,product_name,product_category,price,quantity,order_date,payment_method,region,revenue,year,month,month_name,quarter,week,day_of_week,is_weekend,year_month,customer_segment
ORD000001,CUST01094,P0014,Dress,Clothing,61.53,1,2025-12-26 21:41:00,Credit Card,Central,61.53,2025,12,Dec,4,52,Friday,False,2025-12,Occasional
ORD000002,CUST01003,P0031,Fiction Novel,Books,73.38,1,2025-03-25 14:24:00,Upi,Central,73.38,2025,3,Mar,1,13,Tuesday,False,2025-03,Occasional
ORD000003,CUST00230,P0006,Camera,Electronics,1852.4,1,2025-04-28 01:51:00,Upi,West,1852.4,2025,4,Apr,2,18,Monday,False,2025-04,Regular
ORD000004,CUST02324,P0050,Jump Rope,Sports,194.75,1,2026-01-03 10:13:00,Cod,West,194.75,2026,1,Jan,1,1,Saturday,True,2026-01,Regular
ORD000005,CUST01880,P0042,Dumbbells,Sports,41.95,1,2025-03-15 08:08:00,Debit Card,Central,41.95,2025,3,Mar,1,11,Saturday,True,2025-03,Regular
ORD000006,CUST01755,P0027,Curtains,Home & Kitchen,78.24,1,2025-10-26 12:23:00,Debit Card,South,78.24,2025,10,Oct,4,43,Sunday,True,2025-10,Occasional
ORD000007,CUST00193,P0026,Bed Sheets,Home & Kitchen,218.21,2,2025-02-26 04:40:00,Debit Card,West,436.42,2025,2,Feb,1,9,Wednesday,False,2025-02,Regular
ORD000008,CUST02441,P0003,Tablet,Electronics,1049.06,1,2025-08-28 16:16:00,Wallet,North,1049.06,2025,8,Aug,3,35,Thursday,False,2025-08,Regular
ORD000009,CUST02200,P0006,Camera,Electronics,1852.4,3,2026-01-20 08:49:00,Cod,East,5557.2,2026,1,Jan,1,4,Tuesday,False,2026-01,Regular
ORD000010,CUST01859,P0026,Bed Sheets,Home & Kitchen,218.21,1,2025-01-02 23:56:00,Cod,East,218.21,2025,1,Jan,1,1,Thursday,False,2025-01,Regular
ORD000011,CUST02080,P0046,Football,Sports,131.51,1,2025-02-24 20:19:00,Cod,Central,131.51,2025,2,Feb,1,9,Monday,False,2025-02,Occasional
ORD000012,CUST00662,P0022,Coffee Maker,Home & Kitchen,425.73,2,2025-10-04 16:58:00,Credit Card,Central,851.46,2025,10,Oct,4,40,Saturday,True,2025-10,Regular
ORD000013,CUST01260,P0035,Biography,Books,38.66,1,2025-05-03 01:15:00,Wallet,North,38.66,2025,5,May,2,18,Saturday,True,2025-05,Regular
ORD000014,CUST00284,P0004,Headphones,Electronics,945.42,1,2026-01-25 17:49:00,Debit Card,South,945.42,2026,1,Jan,1,4,Sunday,True,2026-01,Occasional
ORD000015,CUST00677,P0018,Formal Shirt,Clothing,152.89,1,2025-05-16 16:55:00,Wallet,West,152.89,2025,5,May,2,20,Friday,False,2025-05,Regular
ORD000016,CUST00824,P0031,Fiction Novel,Books,73.38,2,2026-01-01 09:25:00,Cod,East,146.76,2026,1,Jan,1,1,Thursday,False,2026-01,Occasional
ORD000017,CUST00496,P0040,History Book,Books,54.77,1,2025-05-07 07:04:00,Upi,North,54.77,2025,5,May,2,19,Wednesday,False,2025-05,Regular
ORD000018,CUST00903,P0011,T-Shirt,Clothing,66.16,1,2025-01-04 02:45:00,Cod,North,66.16,2025,1,Jan,1,1,Saturday,True,2025-01,Regular
ORD000019,CUST01354,P0034,Comic Book,Books,86.82,2,2025-02-06 16:15:00,Upi,West,173.64,2025,2,Feb,1,6,Thursday,False,2025-02,Occasional
ORD000020,CUST02339,P0019,Boots,Clothing,204.41,2,2025-10-23 15:15:00,Net Banking,West,408.82,2025,10,Oct,4,43,Thursday,False,2025-10,Occasional
ORD000021,CUST01766,P0013,Jacket,Clothing,21.21,1,2025-07-01 13:26:00,Net Banking,North,21.21,2025,7,Jul,3,27,Tuesday,False,2025-07,Occasional
ORD000022,CUST00404,P0020,Cap,Clothing,16.52,1,2025-02-01 12:46:00,Upi,North,16.52,2025,2,Feb,1,5,Saturday,True,2025-02,Regular
ORD000023,CUST01838,P0012,Jeans,Clothing,133.25,2,2025-03-13 13:11:00,Upi,West,266.5,2025,3,Mar,1,11,Thursday,False,2025-03,Occasional
ORD000024,CUST01816,P0009,Keyboard,Electronics,1342.84,1,2026-02-18 17:06:00,Credit Card,Central,1342.84,2026,2,Feb,1,8,Wednesday,False,2026-02,Regular
ORD000025,CUST00969,P0006,Camera,Electronics,1852.4,1,2025-03-27 13:31:00,Net Banking,South,1852.4,2025,3,Mar,1,13,Thursday,False,2025-03,Occasional
ORD000026,CUST00675,P0003,Tablet,Electronics,1049.06,2,2025-07-14 00:24:00,Upi,West,2098.12,2025,7,Jul,3,29,Monday,False,2025-07,Regular
